Institute,Branch Name,Quota,Category,Seat Pool,Opening Rank,Closing Rank,Round No,State
NIT Bhopal,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,19399,27592,7,Madhya Pradesh
NIT Bhopal,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-Only,20999,30670,7,Madhya Pradesh
NIT Bhopal,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,OPEN-PwD,Gender-Neutral,1182,1182,7,Madhya Pradesh
NIT Bhopal,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,4874,6597,7,Madhya Pradesh
NIT Bhopal,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,2503,2672,7,Madhya Pradesh
NIT Bhopal,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-Only,5214,5214,7,Madhya Pradesh
NIT Bhopal,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,6408,8914,7,Madhya Pradesh
NIT Bhopal,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-Only,12680,12680,7,Madhya Pradesh
NIT Bhopal,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,3401,3401,7,Madhya Pradesh
NIT Bhopal,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-Only,5057,5057,7,Madhya Pradesh
NIT Bhopal,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,20973,25825,7,Madhya Pradesh
NIT Bhopal,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-Only,30675,32960,7,Madhya Pradesh
NIT Bhopal,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,OPEN-PwD,Gender-Neutral,1972,1972,7,Madhya Pradesh
NIT Bhopal,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,3694,4399,7,Madhya Pradesh
NIT Bhopal,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-Only,4969,4969,7,Madhya Pradesh
NIT Bhopal,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,1865,2225,7,Madhya Pradesh
NIT Bhopal,"Civil Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,7318,9898,7,Madhya Pradesh
NIT Bhopal,"Civil Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-Only,10759,10759,7,Madhya Pradesh
NIT Bhopal,"Civil Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,3611,4484,7,Madhya Pradesh
NIT Bhopal,"Civil Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-Only,6836,6836,7,Madhya Pradesh
NIT Bhopal,"Civil Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,10634,28642,7,Madhya Pradesh
NIT Bhopal,"Civil Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-Only,24632,39925,7,Madhya Pradesh
NIT Bhopal,"Civil Engineering (4 Years, Bachelor of Technology)",HS,OPEN-PwD,Gender-Neutral,1343,1343,7,Madhya Pradesh
NIT Bhopal,"Civil Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,1844,5277,7,Madhya Pradesh
NIT Bhopal,"Civil Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-Only,4937,4937,7,Madhya Pradesh
NIT Bhopal,"Civil Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,862,1444,7,Madhya Pradesh
NIT Bhopal,"Civil Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-Only,2840,2840,7,Madhya Pradesh
NIT Bhopal,"Civil Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,6823,7702,7,Madhya Pradesh
NIT Bhopal,"Civil Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-Only,10902,11116,7,Madhya Pradesh
NIT Bhopal,"Civil Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL-PwD,Gender-Neutral,598,598,7,Madhya Pradesh
NIT Bhopal,"Civil Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,3316,3388,7,Madhya Pradesh
NIT Bhopal,"Civil Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-Only,4828,4828,7,Madhya Pradesh
NIT Bhopal,"Civil Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,21976,26436,7,Madhya Pradesh
NIT Bhopal,"Civil Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-Only,30262,37765,7,Madhya Pradesh
NIT Bhopal,"Civil Engineering (4 Years, Bachelor of Technology)",OS,OPEN-PwD,Gender-Neutral,802,802,7,Madhya Pradesh
NIT Bhopal,"Civil Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,2697,3966,7,Madhya Pradesh
NIT Bhopal,"Civil Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-Only,4543,4543,7,Madhya Pradesh
NIT Bhopal,"Civil Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,330,769,7,Madhya Pradesh
NIT Bhopal,"Civil Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-Only,1782,1782,7,Madhya Pradesh
NIT Bhopal,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,1826,3079,7,Madhya Pradesh
NIT Bhopal,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-Only,5826,6890,7,Madhya Pradesh
NIT Bhopal,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL-PwD,Gender-Neutral,342,342,7,Madhya Pradesh
NIT Bhopal,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,940,1089,7,Madhya Pradesh
NIT Bhopal,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-Only,1775,1775,7,Madhya Pradesh
NIT Bhopal,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,EWS-PwD,Gender-Neutral,11,11,7,Madhya Pradesh
NIT Bhopal,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,2193,8442,7,Madhya Pradesh
NIT Bhopal,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-Only,9624,12387,7,Madhya Pradesh
NIT Bhopal,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN-PwD,Gender-Neutral,32,32,7,Madhya Pradesh
NIT Bhopal,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,310,1957,7,Madhya Pradesh
NIT Bhopal,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-Only,2559,2919,7,Madhya Pradesh
NIT Bhopal,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC-PwD,Gender-Neutral,82,82,7,Madhya Pradesh
NIT Bhopal,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,509,800,7,Madhya Pradesh
NIT Bhopal,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-Only,1883,1883,7,Madhya Pradesh
NIT Bhopal,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,1627,2404,7,Madhya Pradesh
NIT Bhopal,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-Only,3854,4869,7,Madhya Pradesh
NIT Bhopal,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL-PwD,Gender-Neutral,193,193,7,Madhya Pradesh
NIT Bhopal,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,792,918,7,Madhya Pradesh
NIT Bhopal,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-Only,1577,1577,7,Madhya Pradesh
NIT Bhopal,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,EWS-PwD,Gender-Neutral,26,26,7,Madhya Pradesh
NIT Bhopal,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,4967,7290,7,Madhya Pradesh
NIT Bhopal,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-Only,8691,10640,7,Madhya Pradesh
NIT Bhopal,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OPEN-PwD,Gender-Neutral,114,114,7,Madhya Pradesh
NIT Bhopal,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,1122,1581,7,Madhya Pradesh
NIT Bhopal,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-Only,2096,2191,7,Madhya Pradesh
NIT Bhopal,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,SC-PwD,Gender-Neutral,108,108,7,Madhya Pradesh
NIT Bhopal,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,432,813,7,Madhya Pradesh
NIT Bhopal,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-Only,1279,1279,7,Madhya Pradesh
NIT Bhopal,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,4231,6418,7,Madhya Pradesh
NIT Bhopal,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-Only,10529,11469,7,Madhya Pradesh
NIT Bhopal,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,2251,2332,7,Madhya Pradesh
NIT Bhopal,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-Only,3970,3970,7,Madhya Pradesh
NIT Bhopal,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,10700,16898,7,Madhya Pradesh
NIT Bhopal,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-Only,20459,23605,7,Madhya Pradesh
NIT Bhopal,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,OPEN-PwD,Gender-Neutral,952,952,7,Madhya Pradesh
NIT Bhopal,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,2031,4457,7,Madhya Pradesh
NIT Bhopal,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-Only,7020,7020,7,Madhya Pradesh
NIT Bhopal,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,1227,1966,7,Madhya Pradesh
NIT Bhopal,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-Only,3568,3568,7,Madhya Pradesh
NIT Bhopal,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,4215,5075,7,Madhya Pradesh
NIT Bhopal,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-Only,7812,8571,7,Madhya Pradesh
NIT Bhopal,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL-PwD,Gender-Neutral,320,320,7,Madhya Pradesh
NIT Bhopal,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,2040,2081,7,Madhya Pradesh
NIT Bhopal,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-Only,3660,3660,7,Madhya Pradesh
NIT Bhopal,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,13422,15602,7,Madhya Pradesh
NIT Bhopal,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-Only,20791,23686,7,Madhya Pradesh
NIT Bhopal,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,OPEN-PwD,Gender-Neutral,809,809,7,Madhya Pradesh
NIT Bhopal,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,2380,3131,7,Madhya Pradesh
NIT Bhopal,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-Only,3877,3877,7,Madhya Pradesh
NIT Bhopal,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,717,1192,7,Madhya Pradesh
NIT Bhopal,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-Only,1084,1084,7,Madhya Pradesh
NIT Bhopal,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,3250,5912,7,Madhya Pradesh
NIT Bhopal,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-Only,8476,9396,7,Madhya Pradesh
NIT Bhopal,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL-PwD,Gender-Neutral,980,980,7,Madhya Pradesh
NIT Bhopal,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,1585,1998,7,Madhya Pradesh
NIT Bhopal,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-Only,2802,2802,7,Madhya Pradesh
NIT Bhopal,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,8723,13274,7,Madhya Pradesh
NIT Bhopal,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-Only,12658,19572,7,Madhya Pradesh
NIT Bhopal,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OPEN-PwD,Gender-Neutral,523,779,7,Madhya Pradesh
NIT Bhopal,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,2133,3861,7,Madhya Pradesh
NIT Bhopal,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-Only,4976,4976,7,Madhya Pradesh
NIT Bhopal,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,997,1886,7,Madhya Pradesh
NIT Bhopal,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-Only,3373,3373,7,Madhya Pradesh
NIT Bhopal,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,3468,4410,7,Madhya Pradesh
NIT Bhopal,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-Only,5763,7219,7,Madhya Pradesh
NIT Bhopal,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL-PwD,Gender-Neutral,365,365,7,Madhya Pradesh
NIT Bhopal,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,1488,1654,7,Madhya Pradesh
NIT Bhopal,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,8642,12504,7,Madhya Pradesh
NIT Bhopal,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-Only,12886,16571,7,Madhya Pradesh
NIT Bhopal,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OPEN-PwD,Gender-Neutral,406,412,7,Madhya Pradesh
NIT Bhopal,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,2436,2738,7,Madhya Pradesh
NIT Bhopal,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-Only,3341,4118,7,Madhya Pradesh
NIT Bhopal,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,SC-PwD,Gender-Neutral,172,172,7,Madhya Pradesh
NIT Bhopal,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,773,1286,7,Madhya Pradesh
NIT Bhopal,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-Only,2040,2040,7,Madhya Pradesh
NIT Bhopal,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,4938,7858,7,Madhya Pradesh
NIT Bhopal,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-Only,13076,13405,7,Madhya Pradesh
NIT Bhopal,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL-PwD,Gender-Neutral,1245,1245,7,Madhya Pradesh
NIT Bhopal,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,2537,2724,7,Madhya Pradesh
NIT Bhopal,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-Only,5079,5079,7,Madhya Pradesh
NIT Bhopal,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,6004,20625,7,Madhya Pradesh
NIT Bhopal,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-Only,21238,38109,7,Madhya Pradesh
NIT Bhopal,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,OPEN-PwD,Gender-Neutral,763,2095,7,Madhya Pradesh
NIT Bhopal,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,3491,5770,7,Madhya Pradesh
NIT Bhopal,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-Only,6689,6689,7,Madhya Pradesh
NIT Bhopal,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,1448,2132,7,Madhya Pradesh
NIT Bhopal,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-Only,4658,4658,7,Madhya Pradesh
NIT Bhopal,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,4832,6346,7,Madhya Pradesh
NIT Bhopal,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-Only,10562,12167,7,Madhya Pradesh
NIT Bhopal,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL-PwD,Gender-Neutral,912,912,7,Madhya Pradesh
NIT Bhopal,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,2237,2387,7,Madhya Pradesh
NIT Bhopal,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-Only,4801,4801,7,Madhya Pradesh
NIT Bhopal,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,14753,18418,7,Madhya Pradesh
NIT Bhopal,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-Only,27385,31634,7,Madhya Pradesh
NIT Bhopal,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,OPEN-PwD,Gender-Neutral,1067,1660,7,Madhya Pradesh
NIT Bhopal,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,2605,3622,7,Madhya Pradesh
NIT Bhopal,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-Only,6783,6783,7,Madhya Pradesh
NIT Bhopal,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,1225,1431,7,Madhya Pradesh
NIT Bhopal,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-Only,2294,2294,7,Madhya Pradesh
NIT Bhopal,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,ST-PwD,Gender-Neutral,49,49,7,Madhya Pradesh
NIT Bhopal,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,10130,13669,7,Madhya Pradesh
NIT Bhopal,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-Only,17773,17773,7,Madhya Pradesh
NIT Bhopal,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,5102,5102,7,Madhya Pradesh
NIT Bhopal,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-Only,7343,7343,7,Madhya Pradesh
NIT Bhopal,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,29118,39343,7,Madhya Pradesh
NIT Bhopal,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-Only,40151,45421,7,Madhya Pradesh
NIT Bhopal,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",HS,OPEN-PwD,Gender-Neutral,1242,1242,7,Madhya Pradesh
NIT Bhopal,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,6705,7198,7,Madhya Pradesh
NIT Bhopal,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-Only,9262,9262,7,Madhya Pradesh
NIT Bhopal,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,2921,3365,7,Madhya Pradesh
NIT Bhopal,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,10594,11764,7,Madhya Pradesh
NIT Bhopal,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-Only,15964,15964,7,Madhya Pradesh
NIT Bhopal,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,4712,4712,7,Madhya Pradesh
NIT Bhopal,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-Only,6204,6204,7,Madhya Pradesh
NIT Bhopal,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Gender-Neutral,28960,36005,7,Madhya Pradesh
NIT Bhopal,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",OS,OPEN,Female-Only,40656,42606,7,Madhya Pradesh
NIT Bhopal,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,6376,6915,7,Madhya Pradesh
NIT Bhopal,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,2723,2744,7,Madhya Pradesh
NIT Bhopal,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-Only,3815,3815,7,Madhya Pradesh
NIT Bhopal,"Planning (4 Years, Bachelor of Planning)",HS,OBC-NCL,Gender-Neutral,4458,5206,7,Madhya Pradesh
NIT Bhopal,"Planning (4 Years, Bachelor of Planning)",HS,OBC-NCL,Female-Only,3206,3206,7,Madhya Pradesh
NIT Bhopal,"Planning (4 Years, Bachelor of Planning)",HS,EWS,Gender-Neutral,893,893,7,Madhya Pradesh
NIT Bhopal,"Planning (4 Years, Bachelor of Planning)",HS,OPEN,Gender-Neutral,2391,8489,7,Madhya Pradesh
NIT Bhopal,"Planning (4 Years, Bachelor of Planning)",HS,OPEN,Female-Only,1991,1991,7,Madhya Pradesh
NIT Bhopal,"Planning (4 Years, Bachelor of Planning)",HS,SC,Gender-Neutral,2150,2405,7,Madhya Pradesh
NIT Bhopal,"Planning (4 Years, Bachelor of Planning)",HS,SC,Female-Only,6878,6878,7,Madhya Pradesh
NIT Bhopal,"Planning (4 Years, Bachelor of Planning)",HS,ST,Gender-Neutral,641,641,7,Madhya Pradesh
NIT Bhopal,"Planning (4 Years, Bachelor of Planning)",HS,ST,Female-Only,772,772,7,Madhya Pradesh
NIT Bhopal,"Planning (4 Years, Bachelor of Planning)",OS,OBC-NCL,Gender-Neutral,1761,1856,7,Madhya Pradesh
NIT Bhopal,"Planning (4 Years, Bachelor of Planning)",OS,OBC-NCL,Female-Only,1868,1868,7,Madhya Pradesh
NIT Bhopal,"Planning (4 Years, Bachelor of Planning)",OS,EWS,Gender-Neutral,642,642,7,Madhya Pradesh
NIT Bhopal,"Planning (4 Years, Bachelor of Planning)",OS,OPEN,Gender-Neutral,3005,4301,7,Madhya Pradesh
NIT Bhopal,"Planning (4 Years, Bachelor of Planning)",OS,OPEN,Female-Only,2017,3771,7,Madhya Pradesh
NIT Bhopal,"Planning (4 Years, Bachelor of Planning)",OS,OPEN-PwD,Gender-Neutral,358,358,7,Madhya Pradesh
NIT Bhopal,"Planning (4 Years, Bachelor of Planning)",OS,SC,Gender-Neutral,470,730,7,Madhya Pradesh
NIT Bhopal,"Planning (4 Years, Bachelor of Planning)",OS,SC,Female-Only,670,670,7,Madhya Pradesh
NIT Bhopal,"Planning (4 Years, Bachelor of Planning)",OS,ST,Gender-Neutral,402,402,7,Madhya Pradesh
NIT Bhopal,"Planning (4 Years, Bachelor of Planning)",OS,ST,Female-Only,371,371,7,Madhya Pradesh
NIT Bhopal,"Architecture  (5 Years, Bachelor of Architecture)",HS,OBC-NCL,Gender-Neutral,1597,3739,7,Madhya Pradesh
NIT Bhopal,"Architecture  (5 Years, Bachelor of Architecture)",HS,OBC-NCL,Female-Only,1960,2087,7,Madhya Pradesh
NIT Bhopal,"Architecture  (5 Years, Bachelor of Architecture)",HS,EWS,Gender-Neutral,803,989,7,Madhya Pradesh
NIT Bhopal,"Architecture  (5 Years, Bachelor of Architecture)",HS,OPEN,Gender-Neutral,1802,4967,7,Madhya Pradesh
NIT Bhopal,"Architecture  (5 Years, Bachelor of Architecture)",HS,OPEN,Female-Only,898,3246,7,Madhya Pradesh
NIT Bhopal,"Architecture  (5 Years, Bachelor of Architecture)",HS,OPEN-PwD,Gender-Neutral,173,173,7,Madhya Pradesh
NIT Bhopal,"Architecture  (5 Years, Bachelor of Architecture)",HS,SC,Gender-Neutral,1820,2595,7,Madhya Pradesh
NIT Bhopal,"Architecture  (5 Years, Bachelor of Architecture)",HS,SC,Female-Only,245,1735,7,Madhya Pradesh
NIT Bhopal,"Architecture  (5 Years, Bachelor of Architecture)",HS,ST,Gender-Neutral,363,567,7,Madhya Pradesh
NIT Bhopal,"Architecture  (5 Years, Bachelor of Architecture)",HS,ST,Female-Only,195,195,7,Madhya Pradesh
NIT Bhopal,"Architecture  (5 Years, Bachelor of Architecture)",OS,OBC-NCL,Gender-Neutral,862,1557,7,Madhya Pradesh
NIT Bhopal,"Architecture  (5 Years, Bachelor of Architecture)",OS,OBC-NCL,Female-Only,1283,1423,7,Madhya Pradesh
NIT Bhopal,"Architecture  (5 Years, Bachelor of Architecture)",OS,EWS,Gender-Neutral,422,502,7,Madhya Pradesh
NIT Bhopal,"Architecture  (5 Years, Bachelor of Architecture)",OS,OPEN,Gender-Neutral,2329,3054,7,Madhya Pradesh
NIT Bhopal,"Architecture  (5 Years, Bachelor of Architecture)",OS,OPEN,Female-Only,1513,2733,7,Madhya Pradesh
NIT Bhopal,"Architecture  (5 Years, Bachelor of Architecture)",OS,OPEN-PwD,Gender-Neutral,162,162,7,Madhya Pradesh
NIT Bhopal,"Architecture  (5 Years, Bachelor of Architecture)",OS,SC,Gender-Neutral,196,495,7,Madhya Pradesh
NIT Bhopal,"Architecture  (5 Years, Bachelor of Architecture)",OS,SC,Female-Only,386,628,7,Madhya Pradesh
NIT Bhopal,"Architecture  (5 Years, Bachelor of Architecture)",OS,ST,Gender-Neutral,218,253,7,Madhya Pradesh
NIT Bhopal,"Architecture  (5 Years, Bachelor of Architecture)",OS,ST,Female-Only,232,232,7,Madhya Pradesh
NIT Allahabad,"Bio Technology (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,8596,10920,7,Uttar Pradesh
NIT Allahabad,"Bio Technology (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-Only,13982,13982,7,Uttar Pradesh
NIT Allahabad,"Bio Technology (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,3753,3753,7,Uttar Pradesh
